dateres,mpnumber,rec_acres,new_units,parcelct,shape_area,pet_no,dev_type,desc_lpd,objectid,unit_price,petitioner,rehab_unit,netarea,orig_fid,nezname,inactive,gen_bound,Shape__Area,Shape__Length
2004/11/17 00:00:00+00,1970/01/01 00:00:00+00,144.07,126,892,155.53,,new,60 houses & 66 condo's (new),70,low/mod & market rate,"Phoenix Group Consultants, Inc./Core City Neighborhood Org.",,100.32,0,Core City,,"n-Forest, e-Grand River, s-MLK & Magnolia, w-18th",1151421.00390625,6155.45140261233
2004/11/17 00:00:00+00,1970/01/01 00:00:00+00,7.89,275,15,10.68,,new,275 condo's (new),71,market rate,Orton Development Inc. from California,,5.52,0,Orton Development,1,"general: n-W. Grand, e-Cass, s-railroad, w-2nd",80492.47265625,1812.20212154877
2004/11/17 00:00:00+00,1970/01/01 00:00:00+00,47.41,132,85,51.49,,new,132 townhouses (new),72,"$140,000",Northstar CDC/Phoenix Consultants/Castle Constructon,,21.17,0,Petosky Park,1,"n-north side of Boston, e-alley 1st west of Linwood, s-parts of n & s sides of Chicago, w-alley 1st east of Dexter & Dexter",381552.046875,3148.41778880552
2004/11/17 00:00:00+00,1970/01/01 00:00:00+00,8.35,86,11,8.11,,new,86 townhouses (new),73,"$130,000-$200,000",Silvercup JV LLC (St. Paul CDC & D.P.G. Silvercup,,5.47,0,Silvercup Redevelopment,1,"n-Hunt, e-Chene, s-Vernor, w-Dubois",60083.6484375,986.616945332226
2005/01/05 00:00:00+00,1970/01/01 00:00:00+00,21.64,88,142,24.42,,mix,"70 houses (new), 18 townhomes (new), 10 houses (rehab)",74,"$90,000-$100,000, $140,000-$180,000",People First Community Outreach/NPHC,10,15.52,0,College Park,,"n-curtis, e-east side of Ferguson, s-W. Outer Dr., w-Lindsay",181226.8203125,2173.85651214768
2006/10/13 00:00:00+00,1970/01/01 00:00:00+00,7.71,120,70,9.42,,new,24 houses (new) /96 townhouses,75,"$200,000",Strather and Associates and Amandla (Fellowship Chapel),,6.48,0,Village Estates,1,"Map: n-Santa Maria and 1 block toward Outer Dr., e-east side Biltmore, s-alley north of McNichols, w-west side Lindsay. Legal description: Santa Maria, Biltmore, McNichols, Lindsay",69926.79296875,1062.01408731935
2005/01/12 00:00:00+00,1970/01/01 00:00:00+00,21.74,332,707,136.13,,mix,"70 condos (rehab), 140 senior units (rehab), 180 condos (new), 60 lofts (new), 92 townhouses (new)",76,market rate and low/mod,"Phoenix Group Consultants, Inc",210,79.11,1,East Village Amended,,"Former Whittier site and area to north, south, and west",1008322.2109375,9145.30854432954
2005/03/02 00:00:00+00,1970/01/01 00:00:00+00,4.5,,7,6.4,,rehab,242 converted condos from rental units. $15m investment.,77,"$72,000-$315,000",Park Shelton LLC,242,3.86,0,Park Shelton,,"n-Ferry, e-John R, s-E. Kirby, w-Woodward",47413.109375,893.046490405291
2005/04/15 00:00:00+00,1970/01/01 00:00:00+00,2.27,,45,3.07,,rehab,42 lofts (rehab),78,"$112,000-$148,000",5766 Trumbull LLC (Chadd Fox of Ferndale),,2.27,0,Research Lofts (on Trumbull Avenue),,"n-railroad, e-Lincoln, s-Elijah McCoy, w-Trumbull",22721.5234375,655.362041210481
2005/05/04 00:00:00+00,1970/01/01 00:00:00+00,13.98,,74,13.24,,new,30 houses (new),79,"$159,000",Original New Grace Missionary Baptist Church,,7.59,0,Farrington Estates,1,"n-Annin, e-Bauman, s-Bryson, w-1st alley east of Woodward",98293.24609375,1374.38355015797
2005/05/18 00:00:00+00,1970/01/01 00:00:00+00,4.21,,20,5.59,,new,1 house (new)/ 15 townhomes (new),80,"$250,000-$400,000",Griggs Group,,4.08,0,Green Acres,,"n-W. Eight, e-Woodward, s-Woodstock, w-Queenston",41513.578125,898.439242910333
2005/06/01 00:00:00+00,1970/01/01 00:00:00+00,2.58,,15,2.59,,rehab,11 condos (rehab),81,"$400,000",Vinton Building LLC (R. Scott Martin of Detroit),,,0,Vinton Building,1,"600 Woodward/(n-Cadillac Square, s-Congress, w-Woodward)",19131.14453125,685.366682309407
2005/07/01 00:00:00+00,0204/05/01 00:00:00+00,32.19,66,31,35.68,,new,66 townhouses & flats (new),82,"$189,900-$249,000",Du Charme Place LLC (Walter Cohen of Southfield),,30.97,1,Du Charme Place,1,"n-Lafayette, e-Orleans, s-Larned, w-Rivard",264114.0859375,2170.33813011641
2005/07/01 00:00:00+00,1970/01/01 00:00:00+00,51.8,327,113,52.16,,new,43 houses (new)/284 condos (new),83,"$185,000-$1.5 million",Morgan Development LLC,,15.67,0,Morgan Waterfront Estates,,"n-Freud, e-Lycaste, s-Detroit River, w-St. Jean",386373.65625,3024.13193311678
2005/07/06 00:00:00+00,1970/01/01 00:00:00+00,38.76,30,294,40.65,,mix,30 houses (new)/2 houses (rehab),84,"$60,000-$159,000",Sacred Heart/St. Elizabeth CDC,2,22,0,Sacred Heart/St. Elizabeth,1,"n-Forest, e-east side of McDougall, s-Superior, w-west side of Grandy",301154.15234375,2210.73578060972
2005/09/14 00:00:00+00,0208/05/01 00:00:00+00,1.49,39,10,2.71,,new,39 townhouses (new),85,"$239,000",Petit Bateau LLC,,1.93,1,Art Center,1,"n-Kirby, e-St. Antoine, s-Frederick, w-Beaubien",20089.5390625,714.598898296579
2005/09/14 00:00:00+00,0206/05/01 00:00:00+00,109.41,104,835,117.69,,mix,104 houses (new)/33 houses (rehab),86,"$120,000-$150,000",Triad Development Co. (KDR & Associates out of Detroit),33,77.56,1,Triad Development,1,"n-Nevada, e-Dequindre, s-E. McNichols, w-Chrysler",873514.546875,3929.20207215951
2005/09/21 00:00:00+00,1970/01/01 00:00:00+00,3.62,,6,3.71,,mix,195 lofts (rehab) & houses (new),87,"$170,000",Eddystone Development LLC (Jim Wickenheiser),195,,0,Eddystone Lofts,1,"Hotel Eddystone & Sal. Army Harbor Light/(n-north side of Sproat, e-Park, s-Sibley, w-Clifford)",27461.234375,711.765157179725
